group_type,model,dataset,lambda_label,group_value,n_steps,prediction_diff_rate_vs_lambda1,answer_change_rate,avg_final_logprob_delta_vs_lambda1,avg_logprob_change_delta_vs_lambda1,avg_specificity_drift_delta_vs_lambda1,avg_target_new_cot_overlap_delta_vs_lambda1
phase,Phi-3,sqa,1.0,late,69,0,0.08695652173913043,0.0,0.0,0,0.0
phase,Phi-3,sqa,1.0,middle,54,0,0.14814814814814814,0.0,0.0,0,0.0
phase,Phi-3,sqa,1.0,single,1,0,0,0.0,0.0,0,0.0
phase,Phi-3,sqa,10.0,early,46,0.021739130434782608,0.08695652173913043,1.6141304347826086,1.6141304347826086,-0.10869565217391304,-0.03170217391304348
phase,Phi-3,sqa,10.0,late,69,0,0.08695652173913043,1.0271739130434783,1.0271739130434783,-0.08695652173913043,0.025553623188405795
phase,Phi-3,sqa,10.0,middle,54,0,0.14814814814814814,1.0925925925925926,1.0925925925925926,0,-0.013144444444444445
phase,Phi-3,sqa,10.0,single,1,0,0,1.125,1.125,0,0.0
phase,Phi-3,sqa,3.0,early,46,0.021739130434782608,0.08695652173913043,0.8804347826086957,0.8804347826086957,-0.08695652173913043,0.018663043478260866
phase,Phi-3,sqa,3.0,late,69,0,0.08695652173913043,0.5760869565217391,0.5760869565217391,0,0.005355072463768115
phase,Phi-3,sqa,3.0,middle,54,0,0.14814814814814814,0.7592592592592593,0.7592592592592593,0,0.0017574074074074074
phase,Phi-3,sqa,3.0,single,1,0,0,1.0,1.0,0,0.0
step_idx,LLaMA-3-3B,openbook,0.0,0,34,0,0.38235294117647056,-1.7205882352941178,-1.7205882352941178,0.14705882352941177,-0.005676470588235296
step_idx,LLaMA-3-3B,openbook,0.0,1,40,0,0.35,-1.0875,-1.0875,0.125,-0.0264475
step_idx,LLaMA-3-3B,openbook,0.0,10,3,0,0,-0.5,-0.5,0.3333333333333333,0.01893333333333333
step_idx,LLaMA-3-3B,openbook,0.0,11,6,0,0.3333333333333333,-0.16666666666666666,-0.16666666666666666,0.16666666666666666,-0.0119
step_idx,LLaMA-3-3B,openbook,0.0,12,1,0,0,-0.25,-0.25,0,0.0
step_idx,LLaMA-3-3B,openbook,0.0,13,3,0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0,0.05556666666666666
step_idx,LLaMA-3-3B,openbook,0.0,14,3,0,0.3333333333333333,-0.5833333333333334,-0.5833333333333334,0,-0.04763333333333333
step_idx,LLaMA-3-3B,openbook,0.0,15,1,0,1,0.0,0.0,0,0.0
step_idx,LLaMA-3-3B,openbook,0.0,2,34,0,0.29411764705882354,-0.7352941176470589,-0.7352941176470589,0.14705882352941177,-0.034079411764705886
step_idx,LLaMA-3-3B,openbook,0.0,3,34,0,0.2647058823529412,-0.5147058823529411,-0.5147058823529411,0.17647058823529413,-0.050079411764705886
step_idx,LLaMA-3-3B,openbook,0.0,4,22,0,0.2727272727272727,-0.7159090909090909,-0.7159090909090909,0.22727272727272727,0.003609090909090909
step_idx,LLaMA-3-3B,openbook,0.0,5,19,0,0.42105263157894735,-0.21052631578947367,-0.21052631578947367,0.10526315789473684,0.008831578947368421
step_idx,LLaMA-3-3B,openbook,0.0,6,9,0,0.1111111111111111,-1.6944444444444444,-1.6944444444444444,0.3333333333333333,-0.04912222222222222
step_idx,LLaMA-3-3B,openbook,0.0,7,14,0,0.2857142857142857,-0.7142857142857143,-0.7142857142857143,0.21428571428571427,-0.004807142857142859
step_idx,LLaMA-3-3B,openbook,0.0,8,3,0,0,0.0,0.0,0,0.017333333333333336
step_idx,LLaMA-3-3B,openbook,0.0,9,6,0,0.16666666666666666,-0.8333333333333334,-0.8333333333333334,0.3333333333333333,-0.018533333333333332
